location,percentage_delayed,warehouse_status
"SRINAGAR, JAMMU and KASHMIR, IN",100.00,"Prioritize for Clearing"
"SrinagarHub_SRG Srinagar",100.00,"Prioritize for Clearing"
"SundargarhHub_SDG Sundargarh",100.00,"Prioritize for Clearing"
"TarikereHub_TRK Tarikere",100.00,"Prioritize for Clearing"
"TTSPLABURoadODH_ABU Aburoad S.O",100.00,"Prioritize for Clearing"
TUNC,100.00,"Prioritize for Clearing"
"URAVAKONDA, ANDHRA PRADESH, IN",100.00,"Prioritize for Clearing"
"VerkaODH_ATQ Amritsar",100.00,"Prioritize for Clearing"
"VirajpetHub_VRJ Virajpet",100.00,"Prioritize for Clearing"
"VZG WAREHOUSE",100.00,Important
"Leh, Jammu u0026 Kashmir, IN",100.00,"Prioritize for Clearing"
"LUNGLEI, MIZORAM, IN",100.00,"Prioritize for Clearing"
"MAA/APT, Chennai, TAMIL NADU",100.00,"Prioritize for Clearing"
"MAA/LH1, Chennai, TAMIL NADU",100.00,Important
"Mowa Hub Raipur",100.00,"Prioritize for Clearing"
"NagpuriODH_NGP Jaisinghpur",100.00,"Prioritize for Clearing"
NANDURA,100.00,"Prioritize for Clearing"
"NarayanpetODH_NYP Narayanpet",100.00,"Prioritize for Clearing"
NELAMANGALA,100.00,Important
"NONGPOH, NONGPOH, MEGHALAYA",100.00,"Prioritize for Clearing"
"Babulpeth, Chandrapur, MAHARASHTRA",100.00,"Prioritize for Clearing"
"BacheliODH_BAC Dantewara",100.00,"Prioritize for Clearing"
"Badrawas MP, BADRAWAS, MADHYA PRADESH",100.00,"Prioritize for Clearing"
"BaldwaraMDH_BDR Baldwara",100.00,"Prioritize for Clearing"
"Barmer, BARMER, RAJASTHAN",100.00,"Prioritize for Clearing"
"BENGALURU TRANSIT HU",100.00,Important
"BheemunipatnamMDH_VIS Vishakhapatnam",100.00,"Prioritize for Clearing"
"BHIWANDI E-TAIL",100.00,"Prioritize for Clearing"
"BHUBANESWAR W.HOUSE",100.00,Important
"BIRAPRATAPPUR, ODISHA, IN",100.00,"Prioritize for Clearing"
"BISWANATH CHARIALI",100.00,"Prioritize for Clearing"
"BOM/MLD-EHV, Mumbai, MAHARASHTRA",100.00,"Prioritize for Clearing"
"CABTJamshedpurODH_IXW Jamshedpur",100.00,"Prioritize for Clearing"
"HOWRAH, WEST BENGAL, IN",100.00,"Prioritize for Clearing"
"IdentifyPlusJaspurMDH_JSP Jaspur",100.00,"Prioritize for Clearing"
